N,wide_area,wide_error,narrow_area,narrow_error
100,1.062,0.124384,0.786,0.167829
600,0.852,0.0979518,0.778167,0.176122
1100,1.00064,0.0594157,0.794727,0.158589
1600,0.984375,0.0421991,0.777937,0.176365
2100,0.874714,0.0739033,0.787667,0.166064
2600,0.934615,0.0104835,0.784462,0.169458
3100,0.954,0.0100399,0.786871,0.166907
3600,0.92275,0.0230458,0.781694,0.172387
4100,0.923707,0.0220323,0.786756,0.167028
4600,0.918391,0.0276606,0.783065,0.170936
5100,0.956647,0.0128424,0.789706,0.163905
5600,0.943554,0.00102022,0.784482,0.169436
6100,0.950607,0.00644707,0.788672,0.165
6600,0.937909,0.00699627,0.784955,0.168936
7100,0.947408,0.0030611,0.78669,0.167098
7600,0.934934,0.0101459,0.785197,0.168679
8100,0.946556,0.00215811,0.787074,0.166692
8600,0.959651,0.016023,0.784558,0.169355
9100,0.947275,0.00291952,0.786242,0.167573
9600,0.947531,0.00319112,0.785292,0.168579
10100,0.949455,0.00522834,0.786475,0.167326
10600,0.930906,0.0144111,0.785613,0.168238
11100,0.939811,0.00498284,0.784928,0.168964
11600,0.961991,0.0185007,0.786491,0.167309
12100,0.947008,0.00263741,0.78505,0.168835
12600,0.944786,0.000284302,0.785611,0.168241
13100,0.950702,0.00654843,0.784458,0.169461
13600,0.947779,0.00345386,0.783221,0.170771
14100,0.940213,0.00455727,0.785901,0.167934
14600,0.947712,0.00338283,0.786185,0.167633
15100,0.946907,0.0025305,0.783927,0.170023
15600,0.928327,0.0171413,0.786449,0.167354
16100,0.953944,0.00998067,0.783845,0.170111
16600,0.944512,5.43951e-06,0.785012,0.168875
17100,0.935737,0.00929612,0.785082,0.168801
17600,0.944847,0.000348755,0.785352,0.168515
18100,0.944552,3.73739e-05,0.784414,0.169508
18600,0.941323,0.00338226,0.786538,0.16726
19100,0.945518,0.00105995,0.786047,0.167779
19600,0.935265,0.00979535,0.784684,0.169222
20100,0.942403,0.00223839,0.786811,0.16697
20600,0.943515,0.00106152,0.783723,0.170239
21100,0.95255,0.00850443,0.786246,0.167568
21600,0.933583,0.0115761,0.786204,0.167613
